GUID,Wavelet,Level,Threshold,DWT Phase,Original Parameter Count,Non-zero Params,Total Pruned Count,Layer Name
814592a6,db2,10,0.5,min,9408,4704,4704,resnet.embedder.embedder.convolution
814592a6,db2,10,0.5,min,36864,18432,18432,resnet.encoder.stages.0.layers.0.layer.0.convolution
814592a6,db2,10,0.5,min,36864,18432,18432,resnet.encoder.stages.0.layers.0.layer.1.convolution
814592a6,db2,10,0.5,min,36864,18432,18432,resnet.encoder.stages.0.layers.1.layer.0.convolution
814592a6,db2,10,0.5,min,36864,18432,18432,resnet.encoder.stages.0.layers.1.layer.1.convolution
814592a6,db2,10,0.5,min,8192,4096,4096,resnet.encoder.stages.1.layers.0.shortcut.convolution
814592a6,db2,10,0.5,min,73728,36864,36864,resnet.encoder.stages.1.layers.0.layer.0.convolution
814592a6,db2,10,0.5,min,147456,73728,73728,resnet.encoder.stages.1.layers.0.layer.1.convolution
814592a6,db2,10,0.5,min,147456,73728,73728,resnet.encoder.stages.1.layers.1.layer.0.convolution
814592a6,db2,10,0.5,min,147456,73728,73728,resnet.encoder.stages.1.layers.1.layer.1.convolution
814592a6,db2,10,0.5,min,32768,16384,16384,resnet.encoder.stages.2.layers.0.shortcut.convolution
814592a6,db2,10,0.5,min,294912,147456,147456,resnet.encoder.stages.2.layers.0.layer.0.convolution
814592a6,db2,10,0.5,min,589824,294912,294912,resnet.encoder.stages.2.layers.0.layer.1.convolution
814592a6,db2,10,0.5,min,589824,294912,294912,resnet.encoder.stages.2.layers.1.layer.0.convolution
814592a6,db2,10,0.5,min,589824,294912,294912,resnet.encoder.stages.2.layers.1.layer.1.convolution
814592a6,db2,10,0.5,min,131072,65536,65536,resnet.encoder.stages.3.layers.0.shortcut.convolution
814592a6,db2,10,0.5,min,1179648,589824,589824,resnet.encoder.stages.3.layers.0.layer.0.convolution
814592a6,db2,10,0.5,min,2359296,1179648,1179648,resnet.encoder.stages.3.layers.0.layer.1.convolution
814592a6,db2,10,0.5,min,2359296,1179648,1179648,resnet.encoder.stages.3.layers.1.layer.0.convolution
814592a6,db2,10,0.5,min,2359296,1179648,1179648,resnet.encoder.stages.3.layers.1.layer.1.convolution
