Threshold,Model,Accuracy,F1 Score,Recall,Average Loss,Sparsity
1.0,min_pruned,0.69768,0.6930768263996591,0.69768,1.247509605972968,0.0005162295939895771
1.0,random_pruned,0.001,1.998001998001998e-06,0.001,7.36043400410801,0.9561549911498606
1.0,selective_pruned,0.001,1.998001998001998e-06,0.001,7.360371996374691,0.9561544774033746
0.1,min_pruned,0.69762,0.6930237893274558,0.69762,1.2474392117441768,0.0018762877911915083
0.1,random_pruned,0.001,1.998001998001998e-06,0.001,7.379429031211092,0.9409809749401314
0.1,selective_pruned,0.00128,5.028926037799633e-06,0.00128,30.666290827114565,0.940843975877205
0.5,min_pruned,0.69764,0.6930318251128446,0.69764,1.2475064900677528,0.0005177708334474992
0.5,random_pruned,0.001,1.998001998001998e-06,0.001,7.360670819002039,0.955994017250922
0.5,selective_pruned,0.001,1.998001998001998e-06,0.001,7.361090453384477,0.9559768067436418
0.236,min_pruned,0.6976,0.692991332949349,0.6976,1.2475074781938587,0.0005666623740293616
0.236,random_pruned,0.001,1.998001998001998e-06,0.001,7.368220789048373,0.9550687598296828
0.236,selective_pruned,0.001,1.998001998001998e-06,0.001,11.603397990126744,0.9550095933593814
0.382,min_pruned,0.69762,0.693014567038043,0.69762,1.247504539273279,0.0005200826926343824
0.382,random_pruned,0.001,1.998001998001998e-06,0.001,7.359413411611182,0.9558311596148682
0.382,selective_pruned,0.001,1.998001998001998e-06,0.001,7.365300890734739,0.9557990504594949
0.618,min_pruned,0.69762,0.6930162649758207,0.69762,1.2475072045612823,0.0005169145893042092
0.618,random_pruned,0.001,1.998001998001998e-06,0.001,7.3604284021860495,0.9560775866793071
0.618,selective_pruned,0.001,1.998001998001998e-06,0.001,7.36174918074742,0.9560686817402169
0.786,min_pruned,0.69766,0.6930575905884906,0.69766,1.247510436703177,0.0005164864672325641
0.786,random_pruned,0.001,1.998001998001998e-06,0.001,7.360415426361591,0.9561258788489887
0.786,selective_pruned,0.001,1.998001998001998e-06,0.001,7.360371996374691,0.9561221969991726
